,Location,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,Real Rooms
0,"KLCC, Kuala Lumpur",262500.0,3.0,2.0,Residence,"Built-up : 1,335 sq. ft.",Fully Furnished,3
2,"Dutamas, Kuala Lumpur",216300.0,4.0,2.0,Condo,"Built-up : 1,875 sq. ft.",Partly Furnished,3
4,"Bukit Jalil, Kuala Lumpur",189000.0,3.0,2.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,5
5,"Taman Tun Dr Ismail, Kuala Lumpur",1123500.0,5.0,4.0,Bungalow,Land area : 7200 sq. ft.,Partly Furnished,6
7,"Taman Tun Dr Ismail, Kuala Lumpur",546000.0,4.0,4.0,Others,Land area : 3600 sq. ft.,Partly Furnished,5
8,"Taman Tun Dr Ismail, Kuala Lumpur",409500.0,4.0,3.0,Terrace/Link,Land area : 25x75 sq. ft.,Partly Furnished,5
9,"Sri Petaling, Kuala Lumpur",80850.0,2.0,1.0,Duplex,Built-up : 904 sq. ft.,Partly Furnished,3
13,"Taman Tun Dr Ismail, Kuala Lumpur",961800.0,5.0,5.0,Bungalow,Land area : 6000 sq. ft.,Partly Furnished,7
16,"Bukit Tunku (Kenny Hills), Kuala Lumpur",1890000.0,7.0,4.0,Bungalow,Land area : 8500 sq. ft.,Partly Furnished,7
18,"Mont Kiara, Kuala Lumpur",373800.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,5
19,"Mont Kiara, Kuala Lumpur",724500.0,6.0,3.0,Condo,"Built-up : 3,720 sq. ft.",Fully Furnished,5
20,"Desa ParkCity, Kuala Lumpur",315000.0,4.0,2.0,Condo,"Built-up : 1,798 sq. ft.",Partly Furnished,5
21,"Damansara Heights, Kuala Lumpur",325500.0,1.0,1.0,Residence,Built-up : 904 sq. ft.,Fully Furnished,1
22,"Mont Kiara, Kuala Lumpur",315000.0,4.0,3.0,Condo,"Built-up : 2,163 sq. ft.",Fully Furnished,4
24,"Bangsar South, Kuala Lumpur",102900.0,1.0,1.0,Residence,Built-up : 520 sq. ft.,Fully Furnished,1
26,"Bukit Jalil, Kuala Lumpur",128100.0,2.0,2.0,Condo,"Built-up : 1,236 sq. ft.",Partly Furnished,4
28,"Dutamas, Kuala Lumpur",217534.8,4.0,1.0,Condo,"Built-up : 1,876 sq. ft.",Partly Furnished,4
31,"Ampang Hilir, Kuala Lumpur",693000.0,4.0,4.0,Condo,"Built-up : 3,536 sq. ft.",Unfurnished,5
33,"Ampang Hilir, Kuala Lumpur",96600.0,1.0,1.0,Residence,Built-up : 613 sq. ft.,Fully Furnished,1
35,"KLCC, Kuala Lumpur",504000.0,2.0,1.0,Residence,"Built-up : 1,006 sq. ft.",Fully Furnished,2
39,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",301980.0,4.0,3.0,Condo,"Built-up : 2,378 sq. ft.",Partly Furnished,5
40,"Mont Kiara, Kuala Lumpur",361200.0,6.0,3.0,Condo,"Built-up : 2,020 sq. ft.",Partly Furnished,5
42,"KLCC, Kuala Lumpur",898800.0,4.0,2.0,Residence,"Built-up : 2,195 sq. ft.",Fully Furnished,4
43,"KLCC, Kuala Lumpur",483000.0,2.0,1.0,Residence,"Built-up : 1,023 sq. ft.",Partly Furnished,1
44,"Damansara Heights, Kuala Lumpur",882000.0,5.0,5.0,Bungalow,Land area : 5274 sq. ft.,Partly Furnished,6
45,"Sungai Besi, Kuala Lumpur",189000.0,5.0,3.0,Terrace/Link,Land area : 20 X 80 sq. ft.,Fully Furnished,6
46,"KLCC, Kuala Lumpur",567000.0,4.0,3.0,Residence,"Built-up : 3,095 sq. ft.",Fully Furnished,4
47,"Mont Kiara, Kuala Lumpur",226800.0,2.0,1.0,Residence,Built-up : 896 sq. ft.,Fully Furnished,2
48,"Mont Kiara, Kuala Lumpur",241500.0,2.0,2.0,Condo,"Built-up : 1,200 sq. ft.",Partly Furnished,3
49,"Bukit Jalil, Kuala Lumpur",224700.0,4.0,4.0,Condo,"Built-up : 1,772 sq. ft.",Partly Furnished,5
